Accession,Kingdom,Ncbi.Phylum,Ncbi.Class,Ncbi.Order,Ncbi.Family,Ncbi.Genus,Ncbi.Species,Strain,Sequencing_coverage,Scaffolds_number,Scaffold_N50,Scaffold_L50,Genome_size,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_001720205.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus amylolentus,Cryptococcus amylolentus CBS 6039,117,15,1545655,6,20253913,1,4,7,4,5,0,1,3,0,0,0,0
GCA_001720235.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus amylolentus,Cryptococcus amylolentus CBS 6273,97,18,1529651,6,20189769,1,4,7,3,4,0,1,3,0,0,0,0
GCA_000836335.2,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus bacillisporus,Cryptococcus bacillisporus CA1280,127,14,1576396,5,17825526,2,4,3,2,0,0,1,3,0,0,0,0
GCA_000855695.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus bacillisporus,Cryptococcus bacillisporus CA1873,57,33,761613,8,17389909,2,4,3,2,0,0,1,3,0,0,0,0
GCA_036417295.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus decagattii,Cryptococcus decagattii 7685027,113,14,1768996,5,17768546,2,5,3,2,0,0,1,3,0,0,0,0
GCA_001720195.2,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus depauperatus,Cryptococcus depauperatus CBS 7841,247,8,2462433,3,16179376,0,4,1,1,0,0,0,3,0,0,0,0
GCA_001720245.2,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus depauperatus,Cryptococcus depauperatus CBS 7855,130,8,2236658,4,16328170,0,4,1,1,0,0,0,3,0,0,0,0
GCA_000835815.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus deuterogattii,Cryptococcus deuterogattii 2001/935-1,90,24,1248189,6,17377527,2,4,5,2,0,0,1,2,0,0,0,0
GCA_000836455.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus deuterogattii,Cryptococcus deuterogattii 99/473,81,105,520419,13,17344500,2,4,6,2,0,0,1,2,0,0,0,0
GCA_000875795.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus deuterogattii,Cryptococcus deuterogattii CA1014,183,21,1238107,6,17394721,2,4,6,2,0,0,1,2,0,0,0,0
GCA_000835765.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus deuterogattii,Cryptococcus deuterogattii CBS 10090,62,24,1122164,6,17372417,2,4,6,2,0,0,1,2,0,0,0,0
GCA_000836315.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus deuterogattii,Cryptococcus deuterogattii LA55,123,134,394791,14,17329976,2,4,6,2,0,0,1,2,0,0,0,0
GCA_000875855.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus deuterogattii,Cryptococcus deuterogattii MMRL2647,190,25,1214750,6,17358451,2,4,6,2,0,0,1,2,0,0,0,0
GCA_002954075.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus deuterogattii,Cryptococcus deuterogattii NA,39,14,1316417,5,17549805,2,5,7,0,0,0,1,3,0,0,0,0
GCA_000836375.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus deuterogattii,Cryptococcus deuterogattii Ram5,57,24,915286,7,17323763,2,4,5,2,0,0,1,2,0,0,0,0
GCA_000875815.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus gattii,Cryptococcus gattii E566,77,52,717019,10,17646708,2,5,4,2,0,0,1,3,0,0,0,0
GCA_009650685.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus gattii,Cryptococcus gattii MF34,47,15,1323151,5,17886378,1,5,5,2,0,0,1,3,0,0,0,0
GCA_000836355.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus gattii,Cryptococcus gattii Ru294,115,53,699094,10,17739339,2,5,5,2,0,0,1,3,0,0,0,0
GCA_036428525.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus gattii,Cryptococcus gattii WM276,270,14,1333358,5,18044915,2,5,5,2,0,0,1,3,0,0,0,0
GCA_002215885.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans 125.91,66,37,836747,8,18461223,2,5,8,1,2,0,1,3,0,0,0,0
GCA_002222375.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans A2-102-5,70,47,869879,8,18340945,2,5,8,1,1,0,1,3,0,0,0,0
GCA_002215775.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans AD2-60a,86,168,730974,10,18548380,2,5,6,1,1,0,1,3,0,0,0,0
GCA_002215705.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans Bt1,91,52,770391,8,18341054,2,5,7,1,1,0,1,3,0,0,0,0
GCA_002222465.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans Bt120,34,31,1055601,7,18278067,2,5,6,1,1,0,1,3,0,0,0,0
GCA_002222335.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans Bt15,183,33,1109861,7,18405886,2,5,7,1,1,0,1,3,0,0,0,0
GCA_002234625.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans Bt63,63,53,775306,10,18367065,2,5,6,1,1,0,1,3,0,0,0,0
GCA_002215835.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans Bt85,128,39,948332,8,18466126,2,5,6,1,1,0,1,3,0,0,0,0
GCA_002215825.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans C23,74,107,747818,11,18854133,2,5,7,1,1,0,1,3,0,0,0,0
GCA_002224005.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans Gb118,100,68,782510,10,18332156,2,5,7,1,1,0,1,3,0,0,0,0
GCA_002216725.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans KN99,1140,14,1422463,6,18889624,2,5,9,1,2,0,1,4,0,0,0,0
GCA_002222315.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans Th84,122,118,616613,11,18380399,2,5,7,1,1,0,1,3,0,0,0,0
GCA_002222325.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans Tu259-1,187,120,794620,10,18366242,2,5,7,1,1,0,1,3,0,0,0,0
GCA_002222475.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans Tu401-1,194,49,846909,10,18232777,2,5,6,1,1,0,1,3,0,0,0,0
GCA_022832995.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans VNII,246,14,1423448,6,18957373,1,5,4,0,1,0,1,3,0,0,0,0
GCA_002222385.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans Ze90-1,207,164,464547,15,18219715,2,5,5,1,1,0,1,3,0,0,0,0
GCA_002222405.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus neoformans,Cryptococcus neoformans c8,176,158,573455,14,18399545,2,5,7,1,1,0,1,3,0,0,0,0
GCA_036426225.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus sp.,Cryptococcus sp. DSM 104548,122,14,1474773,6,19153593,1,5,5,2,4,0,1,3,0,0,0,0
GCA_036427605.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus sp.,Cryptococcus sp. DSM 104549,116,7,4020467,3,24520542,2,5,5,3,3,0,1,4,0,0,0,0
GCA_000835755.2,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus tetragattii,Cryptococcus tetragattii IND107,91,15,1330454,5,17799622,2,5,6,2,0,0,1,3,0,0,0,0
GCA_001720155.1,Metazoa,Arthropoda,Insecta,Hemiptera,Eriococcidae,Cryptococcus,Cryptococcus wingfieldii,Cryptococcus wingfieldii CBS 7118,83,83,606306,11,19893900,1,5,3,2,4,0,1,2,0,0,0,0
GCA_022478825.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Daldinia,Daldinia caldariorum,Daldinia caldariorum CBS 122874,124.35,45,1439621,8,35554592,1,1,13,6,12,12,4,12,0,0,0,0
GCA_008694065.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Daldinia,Daldinia childiae,Daldinia childiae JS-1345,556,133,3265584,4,38395488,1,1,18,7,15,9,4,14,1,0,0,0
GCA_022478715.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Daldinia,Daldinia decipiens,Daldinia decipiens CBS 113046,141.86,96,791238,16,35254407,1,1,14,7,15,12,4,11,1,0,0,0
GCA_037126485.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Daldinia,Daldinia eschscholtzii,Daldinia eschscholtzii NA,74,11,4014089,5,37560068,1,1,15,7,14,11,4,12,1,0,0,0
GCA_022432525.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Daldinia,Daldinia grandis,Daldinia grandis CBS 114736,257.6,26,2696365,6,37510053,1,1,14,7,15,12,4,11,0,0,0,0
GCA_023065755.1,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Daldinia,Daldinia loculata,Daldinia loculata AZ0526,227.27,128,511218,21,35622534,1,1,15,6,14,10,4,9,0,0,0,0
GCA_000709125.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala aquamarina,Exophiala aquamarina CBS 119918,79,151,2236061,5,40982715,1,1,11,3,13,1,5,2,0,0,0,0
GCA_035927105.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala bonariae,Exophiala bonariae CCFEE 5792,51.2964,178,938388,14,37886950,1,2,10,3,12,1,5,3,0,0,0,0
GCA_028024355.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis DCF04,39.1678,44,3672342,4,26623318,0,1,6,3,5,1,3,2,0,0,0,0
GCA_043234845.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis EXF-10123,140,24,1581879,6,26379579,0,1,6,3,5,1,3,2,0,0,0,0
GCA_043234795.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis EXF-13310,160,23,2805329,5,26682874,0,1,6,3,5,1,3,2,0,0,0,0
GCA_043234805.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis EXF-8193,154,25,1845242,6,26417825,0,1,6,3,5,1,3,2,0,0,0,0
GCA_028025245.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex1,40.9264,69,951691,11,26618662,0,1,6,2,5,1,3,2,0,0,0,0
GCA_028028245.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex10,38.1142,87,885042,9,26612099,0,1,7,3,5,1,3,2,0,0,0,0
GCA_028028135.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex11,38.9519,67,1106267,8,26621600,0,1,6,2,5,1,3,2,0,0,0,0
GCA_028027665.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex12,46.3473,49,1256779,7,23597007,0,1,6,2,5,0,3,2,0,0,0,0
GCA_028027445.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex14,40.8024,96,965535,10,26637470,0,1,6,3,5,1,4,2,0,0,0,0
GCA_028027435.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex16,35.7316,155,951437,8,24334296,0,1,6,3,5,0,3,2,0,0,0,0
GCA_028026935.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex17,34.7777,156,951539,9,24786557,0,1,6,2,5,0,3,2,0,0,0,0
GCA_028026235.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex19,38.2818,149,832893,9,24839719,0,1,6,3,5,0,3,2,0,0,0,0
GCA_028024505.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex2,43.4519,64,1002554,9,26618355,0,1,6,2,5,1,3,2,0,0,0,0
GCA_028025565.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex21,42.6389,61,999909,10,26617672,0,1,6,3,5,1,3,2,0,0,0,0
GCA_030028065.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex22,36.3513,145,917197,9,24126912,0,1,7,4,5,0,3,2,0,0,0,0
GCA_028025295.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex23,36.3054,87,952679,9,25768545,0,1,5,2,5,1,3,2,0,0,0,0
GCA_028024475.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex3,38.6952,64,1002554,9,26618355,0,1,6,2,5,1,3,2,0,0,0,0
GCA_028024125.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex5,47.1086,75,951690,10,26620876,0,1,7,3,5,1,3,2,0,0,0,0
GCA_028028335.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex7,37.5206,85,951673,9,27246691,0,1,6,3,5,1,5,2,0,0,0,0
GCA_030028025.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex8,40.1762,81,1000046,8,26620692,0,1,8,4,5,1,3,2,0,0,0,0
GCA_028028305.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis Ex9,43.5621,68,1108162,8,26621933,0,1,6,3,5,1,3,2,0,0,0,0
GCA_000230625.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala dermatitidis,Exophiala dermatitidis NIH/UT8656,151.6,10,3623950,4,26346203,0,1,6,3,6,1,3,2,0,0,0,0
GCA_000836275.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala mesophila,Exophiala mesophila CBS 40295,270,9,5104443,3,29256826,1,3,9,2,4,0,3,2,0,0,0,0
GCA_004011775.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala mesophila,Exophiala mesophila CCFEE 6314,58,196,522425,20,30408885,1,2,9,3,4,0,3,2,0,0,0,0
GCA_000835515.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala oligosperma,Exophiala oligosperma CBS 72588,240,143,3385568,5,37920466,1,3,9,2,12,0,5,3,0,0,0,0
GCA_000835395.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala sideris,Exophiala sideris CBS 121828,271,5,7897194,2,29484114,1,4,7,2,8,0,5,3,0,0,0,0
GCA_035927125.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala sideris,Exophiala sideris CCFEE 5749,48.593,198,643224,15,29717896,1,3,6,4,9,1,3,3,0,0,0,0
GCA_000836115.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala spinifera,Exophiala spinifera CBS 89968,272,28,3791951,4,32873413,0,2,8,2,11,1,3,2,0,0,0,0
GCA_022695815.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala viscosa,Exophiala viscosa JF 03-3F,147.3,30,2240945,4,28287907,1,1,6,4,9,1,4,2,0,0,0,0
GCA_022695825.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala viscosa,Exophiala viscosa JF 03-4F,147.2,17,2893788,5,28224348,1,3,5,3,10,1,4,2,0,0,0,0
GCA_000835505.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,Exophiala xenobiotica CBS 118157,87,15,5039080,3,31388042,1,2,10,2,11,2,6,3,0,0,0,0
GCA_038362935.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,Exophiala xenobiotica CCFEE 6078,392.583,93,1401111,8,29807510,2,2,6,3,8,1,4,2,0,0,0,0
GCA_035931915.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,Exophiala xenobiotica CCFEE 6142,363.052,61,1096717,11,29406864,2,2,6,3,9,1,4,2,0,0,0,0
GCA_035931855.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,Exophiala xenobiotica CCFEE 6180,66.6589,52,1468875,9,29409029,2,2,6,3,9,1,4,2,0,0,0,0
GCA_035931885.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,Exophiala xenobiotica CCFEE 6194,81.3261,70,1631616,8,29441001,2,2,6,3,9,1,4,2,0,0,0,0
GCA_035928485.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,Exophiala xenobiotica CCFEE 6233,79.8723,106,1249586,9,30381466,1,1,6,3,8,2,4,2,0,0,0,0
GCA_035928445.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,Exophiala xenobiotica CCFEE 6237,86.8019,54,1611842,8,29425850,2,2,6,3,9,1,4,2,0,0,0,0
GCA_035928465.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,Exophiala xenobiotica CCFEE 6238,86.2706,60,1557104,8,29412715,2,2,6,3,9,1,4,2,0,0,0,0
GCA_035928425.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,Exophiala xenobiotica CCFEE 6333,129.434,57,1445249,7,29439737,1,2,6,3,9,1,4,2,0,0,0,0
GCA_035928245.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,Exophiala xenobiotica CCFEE 6336,82.6454,51,1846990,6,29427391,2,2,6,3,9,1,4,2,0,0,0,0
GCA_035928305.1,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,Exophiala xenobiotica,Exophiala xenobiotica CCFEE 6362,93.0532,54,1350356,9,29409082,2,2,6,3,9,1,4,2,0,0,0,0
GCA_038181435.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium acuminatum,Fusarium acuminatum NA,318.04,11,6113431,3,46698876,2,1,19,8,14,11,5,24,1,0,0,0
GCA_012959155.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium avenaceum,Fusarium avenaceum KA13,113,34,2236682,7,41699446,2,1,23,8,18,12,5,23,1,0,0,0
GCA_020744115.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium avenaceum,Fusarium avenaceum MPI-SDFR-AT-0044,179.21,13,4676257,4,42232206,2,1,24,8,20,11,5,24,1,0,0,0
GCA_047716405.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium chlamydosporum,Fusarium chlamydosporum IraGTOF6,166,23,3339234,5,37798897,2,1,15,6,15,11,5,14,1,0,0,0
GCA_016952355.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium culmorum,Fusarium culmorum Class2-1B,443,4,9630554,2,37519305,2,1,17,6,14,7,4,14,1,0,0,0
GCA_003033665.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium culmorum,Fusarium culmorum PV,115,36,5548199,3,38110313,2,1,16,6,13,6,5,14,1,0,0,0
GCA_027945365.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium equiseti,Fusarium equiseti CF00095,32.3888,89,1904070,8,37108746,2,1,19,7,15,10,5,13,1,0,0,0
GCA_026873545.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium falciforme,Fusarium falciforme Fu3.1,107.93,14,3875999,6,53563088,1,1,44,10,24,12,4,15,1,0,0,0
GCA_020744385.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium flagelliforme,Fusarium flagelliforme FIESC 12 MPI-CAGE-AA-0113,172.12,15,5434111,3,40328194,2,1,23,6,18,11,6,21,2,0,0,0
GCA_900096505.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi,Fusarium fujikuroi B14,64,66,2960472,6,43927523,2,1,25,9,21,11,6,14,1,0,0,0
GCA_900096645.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi,Fusarium fujikuroi C1995,66,86,4161666,5,45515568,2,1,24,9,22,7,6,14,1,0,0,0
GCA_900096685.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi,Fusarium fujikuroi FSU48,53,182,2125619,7,45464452,2,1,26,9,20,8,6,15,1,0,0,0
GCA_009663115.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi,Fusarium fujikuroi I1.3,59.02,12,4426414,5,45524486,2,1,19,8,20,7,6,14,1,0,0,0
GCA_001023035.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi,Fusarium fujikuroi KSU X-10626,40,187,1202620,12,42915903,2,1,24,9,21,10,6,16,1,0,0,0
GCA_900096635.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium fujikuroi,Fusarium fujikuroi MRC2276,146,28,4471326,5,44920986,2,1,25,9,21,11,6,14,1,0,0,0
GCA_000599445.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum,Fusarium graminearum CS3005,50,199,8791613,2,36593613,2,1,21,6,15,9,5,15,1,0,0,0
GCA_002352725.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum,Fusarium graminearum ITEM 124,40,67,1518396,6,36883364,2,1,20,6,14,9,5,17,1,0,0,0
GCA_037074415.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum,Fusarium graminearum KSU23389,160,16,8998777,2,37857963,2,1,20,5,13,9,5,14,1,0,0,0
GCA_037074405.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum,Fusarium graminearum KSU23468,192,7,9058990,2,37321827,2,1,20,5,14,9,6,15,1,0,0,0
GCA_037255895.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum,Fusarium graminearum KSU23473,267,4,9045406,2,36786251,2,1,18,4,14,9,7,16,1,0,0,0
GCA_037213105.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum,Fusarium graminearum KSU23522,123,4,9010877,2,37126805,2,1,19,5,15,9,7,16,1,0,0,0
GCA_900492705.2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum,Fusarium graminearum MDC_Fg1,74,96,1646471,9,36807931,2,1,20,6,15,9,5,15,1,0,0,0
GCA_905332055.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum,Fusarium graminearum MDC_FgU1,73,139,651714,18,37010759,2,1,20,6,15,9,5,14,0,0,0,0
GCA_900073075.1,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Fusarium,Fusarium graminearum,Fusarium graminearum NA,220,4,9025752,2,36908675,2,1,20,6,15,9,5,16,1,0,0,0
